Unnamed: 0,age,Gender,Department,employment status,Years of experience,Work environment,Do you often feel overwhelmed by your workload?,Is your workload generally manageable?,Do you frequently work beyond your scheduled hours?,Do you feel supported by your manager and team?,Are you satisfied with the resources and help available at work?,Do you often feel isolated when dealing with work challenges?,Do you frequently think about work in your personal time?,Do you feel you have a healthy work-life balance?,Does your work often interfere with personal or family time?,Do you regularly feel physically or emotionally exhausted?,"Do you experience symptoms like sleep issues, anxiety, or low mood?",Do you regularly engage in physical or leisure activities?,How do you feel?
1741,under 20,female,Other,part-time,6-10,Office-based,5,1,3,1,5,4,2,3,2,1,5,5,Mildly Stressed
1742,31-40,male,IT Services,contract,16-20,remote,3,1,4,1,2,3,2,3,2,4,3,4,Highly Stressed
1743,under 20,female,Other,contract,1-5,remote,5,4,4,4,3,1,5,4,5,5,3,2,Highly Stressed
1744,under 20,male,Cyber Security,contract,11-15,remote,4,2,2,1,1,3,3,5,2,5,4,5,Mildly Stressed
1745,41-50,female,Cyber Security,part-time,1-5,Office-based,3,1,3,3,2,1,4,3,3,2,4,5,Mildly Stressed
1746,21-30,male,Other,contract,less than 1 year,remote,2,5,2,2,3,1,3,2,1,2,4,3,Healthy
1747,31-40,female,Other,part-time,1-5,remote,2,5,4,4,4,1,3,4,1,1,5,3,Healthy
1748,51-60,female,Other,part-time,1-5,hybrid,4,2,5,3,4,3,2,4,1,5,3,4,Mildly Stressed
1749,51-60,male,Hardware engineering,contract,1-5,Office-based,1,3,3,3,2,3,4,3,3,3,1,4,Healthy
1750,under 20,female,Cyber Security,full-time,1-5,hybrid,1,2,3,5,1,1,2,2,5,5,4,4,Mildly Stressed
1751,41-50,female,Cyber Security,full-time,less than 1 year,Office-based,2,4,2,5,3,1,1,3,3,2,2,1,Healthy
1752,41-50,male,Hardware engineering,contract,16-20,Office-based,4,3,5,3,4,2,2,2,2,4,1,2,Mildly Stressed
1753,51-60,female,Other,contract,6-10,Office-based,1,4,4,5,4,1,5,4,4,1,1,2,Healthy
1754,31-40,male,IT Services,part-time,11-15,hybrid,5,5,1,2,1,5,2,2,4,5,4,4,Highly Stressed
1755,21-30,female,Other,contract,6-10,hybrid,2,1,4,2,2,2,1,3,4,3,2,3,Mildly Stressed
1756,31-40,female,Other,part-time,6-10,hybrid,5,4,4,5,5,2,2,1,1,3,4,2,Healthy
1757,21-30,female,Hardware engineering,contract,11-15,hybrid,4,5,5,1,3,2,1,1,3,3,4,5,Mildly Stressed
1758,51-60,female,Cyber Security,full-time,less than 1 year,remote,5,2,3,3,4,5,4,2,3,1,2,1,Highly Stressed
1759,21-30,male,Other,full-time,11-15,remote,1,4,4,2,5,2,2,3,1,3,1,3,Healthy
1760,41-50,female,Cyber Security,contract,less than 1 year,remote,1,5,3,5,1,2,1,5,2,3,1,1,Healthy
1761,under 20,male,Software development,part-time,6-10,Office-based,3,1,5,5,2,3,4,1,4,5,2,5,Highly Stressed
1762,under 20,female,Cyber Security,full-time,less than 1 year,remote,2,4,5,2,3,3,5,4,4,1,1,2,Mildly Stressed
1763,51-60,female,IT Services,part-time,16-20,Office-based,4,5,2,2,1,1,3,3,1,4,5,1,Mildly Stressed
1764,41-50,female,IT Services,contract,11-15,hybrid,2,4,1,1,2,1,1,3,4,4,4,1,Mildly Stressed
1765,31-40,female,Other,contract,16-20,Office-based,5,1,5,5,1,4,5,1,5,3,5,1,Burned Out
1766,41-50,male,Cyber Security,full-time,6-10,Office-based,4,4,5,5,4,5,4,5,3,2,5,5,Mildly Stressed
1767,under 20,male,Other,contract,11-15,remote,4,4,3,4,4,3,5,4,4,1,5,3,Mildly Stressed
1768,under 20,male,Hardware engineering,full-time,6-10,hybrid,1,5,5,1,5,1,2,5,4,2,3,3,Healthy
1769,41-50,male,IT Services,part-time,16-20,hybrid,5,3,4,2,1,5,3,4,5,1,3,5,Mildly Stressed
1770,41-50,female,Other,full-time,6-10,remote,1,4,2,2,4,2,1,1,2,1,5,1,Healthy
1771,under 20,male,Hardware engineering,full-time,11-15,hybrid,1,3,2,3,2,5,4,3,2,5,4,1,Highly Stressed
1772,31-40,male,Other,part-time,11-15,hybrid,3,2,4,2,5,3,3,4,5,3,5,4,Mildly Stressed
1773,51-60,female,Cyber Security,full-time,6-10,hybrid,1,4,5,5,3,4,4,3,2,5,5,2,Mildly Stressed
1774,51-60,female,Cyber Security,full-time,11-15,remote,2,3,1,2,1,3,5,2,1,2,3,2,Mildly Stressed
1775,41-50,female,Cyber Security,contract,11-15,hybrid,4,2,5,5,4,1,4,2,5,2,5,3,Highly Stressed
1776,51-60,female,Cyber Security,part-time,6-10,Office-based,1,5,2,5,2,1,4,1,3,4,4,5,Healthy
1777,under 20,male,Software development,full-time,16-20,Office-based,2,4,1,1,1,5,5,1,3,5,4,1,Burned Out
1778,under 20,male,Hardware engineering,part-time,11-15,hybrid,5,5,3,2,2,3,5,1,3,5,5,2,Burned Out
1779,41-50,female,Hardware engineering,part-time,11-15,remote,4,2,3,1,5,1,3,2,4,5,4,5,Mildly Stressed
1780,41-50,female,Cyber Security,full-time,11-15,remote,5,5,5,5,4,2,1,4,5,4,5,5,Mildly Stressed
1781,41-50,female,Software development,contract,11-15,remote,2,5,5,2,4,2,5,5,5,5,3,1,Highly Stressed
1782,31-40,male,Cyber Security,part-time,6-10,hybrid,5,1,1,2,5,4,3,1,2,5,5,5,Highly Stressed
1783,51-60,male,Software development,full-time,16-20,hybrid,5,2,1,1,2,5,4,5,5,5,1,2,Highly Stressed
1784,41-50,female,Cyber Security,part-time,16-20,Office-based,5,5,5,1,1,1,4,5,5,5,3,4,Highly Stressed
1785,21-30,female,IT Services,contract,less than 1 year,remote,1,3,2,5,2,4,2,2,2,2,4,2,Healthy
1786,21-30,male,IT Services,contract,11-15,Office-based,1,2,3,5,1,2,5,4,5,3,4,4,Mildly Stressed
1787,under 20,female,Other,contract,11-15,Office-based,1,1,1,2,5,4,3,2,5,2,3,5,Mildly Stressed
1788,51-60,female,Cyber Security,full-time,less than 1 year,remote,4,4,2,2,3,4,3,1,1,5,1,2,Highly Stressed
1789,41-50,male,Hardware engineering,full-time,16-20,hybrid,2,5,5,4,1,1,1,2,2,1,3,1,Healthy
1790,21-30,female,Other,contract,1-5,hybrid,1,3,4,4,4,1,3,2,1,1,2,5,Healthy
1791,51-60,male,IT Services,full-time,1-5,Office-based,5,1,1,3,4,1,5,2,4,4,1,1,Highly Stressed
1792,under 20,female,Cyber Security,contract,16-20,Office-based,5,2,4,5,4,5,3,1,2,2,3,4,Mildly Stressed
1793,31-40,female,Other,full-time,11-15,Office-based,5,5,2,3,2,4,2,1,5,4,2,3,Highly Stressed
1794,51-60,male,Cyber Security,contract,1-5,Office-based,5,1,3,3,2,4,4,2,5,4,5,3,Burned Out
1795,51-60,male,IT Services,part-time,6-10,remote,3,1,2,1,2,5,4,2,1,1,1,4,Mildly Stressed
1796,31-40,female,Other,contract,6-10,Office-based,4,3,3,1,4,2,3,5,1,2,5,3,Mildly Stressed
1797,51-60,male,IT Services,contract,less than 1 year,Office-based,2,4,2,4,1,3,3,4,4,3,2,5,Healthy
1798,under 20,female,Software development,full-time,16-20,hybrid,2,4,1,3,4,2,3,5,4,2,4,5,Healthy
1799,under 20,female,IT Services,full-time,16-20,hybrid,1,4,1,4,1,5,3,4,5,4,4,2,Mildly Stressed
1800,31-40,male,Cyber Security,full-time,1-5,hybrid,3,2,4,5,2,4,2,4,3,5,4,5,Mildly Stressed
1801,41-50,female,Hardware engineering,full-time,11-15,remote,2,1,2,2,3,4,5,2,4,4,5,3,Burned out
1802,21-30,female,IT Services,full-time,16-20,remote,4,2,2,1,2,1,2,5,5,2,1,1,Mildly Stressed
1803,41-50,male,Hardware engineering,full-time,1-5,hybrid,5,1,4,5,5,1,2,4,4,1,5,2,Mildly Stressed
1804,51-60,male,Software development,part-time,1-5,hybrid,1,3,5,5,1,4,2,4,2,2,5,1,Mildly Stressed
1805,21-30,female,Other,contract,16-20,Office-based,4,3,2,1,3,4,4,1,1,3,4,3,Highly Stressed
1806,31-40,male,Other,contract,1-5,Office-based,2,2,2,1,2,1,2,4,5,5,5,1,Highly Stressed
1807,31-40,male,Hardware engineering,contract,less than 1 year,remote,3,2,2,3,3,1,3,2,4,5,2,3,Mildly Stressed
1808,21-30,male,Other,part-time,less than 1 year,remote,1,3,5,4,4,2,2,3,1,4,3,5,Healthy
1809,under 20,male,IT Services,contract,16-20,Office-based,2,5,1,5,1,4,3,1,3,2,3,2,Mildly Stressed
1810,21-30,female,Hardware engineering,part-time,11-15,hybrid,1,4,4,3,5,4,5,3,4,1,3,4,Healthy
1811,51-60,female,Cyber Security,part-time,less than 1 year,Office-based,2,4,5,3,4,5,4,2,5,3,4,3,Highly Stressed
1812,under 20,female,IT Services,part-time,less than 1 year,remote,5,3,3,5,3,2,5,3,2,4,4,5,Mildly Stressed
1813,31-40,male,IT Services,contract,16-20,remote,3,4,3,5,2,3,5,4,1,2,3,1,Mildly Stressed
1814,21-30,male,IT Services,part-time,6-10,Office-based,5,5,5,2,1,3,4,3,1,1,1,5,Mildly Stressed
1815,41-50,male,Cyber Security,contract,1-5,Office-based,2,5,5,4,5,3,3,5,2,2,3,1,Healthy
1816,41-50,male,Software development,contract,less than 1 year,Office-based,4,1,1,5,2,1,3,2,5,1,5,1,Mildly Stressed
1817,51-60,male,Other,full-time,6-10,remote,5,2,3,1,5,3,3,5,3,2,3,1,Highly Stressed
1818,41-50,male,Hardware engineering,full-time,11-15,hybrid,4,4,4,2,1,5,4,3,2,2,3,1,Highly Stressed
1819,21-30,male,Software development,part-time,6-10,Office-based,2,5,2,4,3,1,2,5,3,4,1,2,Healthy
1820,21-30,female,Hardware engineering,part-time,16-20,remote,3,2,2,1,5,1,1,1,5,2,4,1,Mildly Stressed
1821,41-50,female,Other,contract,11-15,remote,4,2,1,1,1,3,2,3,4,2,4,2,Highly Stressed
1822,21-30,male,Cyber Security,part-time,11-15,remote,2,1,1,4,5,1,2,5,4,4,5,4,Healthy
1823,51-60,male,IT Services,part-time,6-10,Office-based,4,2,3,2,2,2,5,4,5,4,3,2,Highly Stressed
1824,under 20,male,IT Services,contract,16-20,Office-based,5,2,4,1,5,2,1,3,3,5,2,1,Highly Stressed
1825,51-60,female,Cyber Security,part-time,less than 1 year,hybrid,2,3,4,3,2,3,3,1,2,5,5,4,Highly Stressed
1826,51-60,female,Software development,part-time,6-10,remote,5,1,5,4,2,5,2,4,5,4,4,5,Highly Stressed
1827,21-30,male,Software development,contract,less than 1 year,Office-based,1,1,1,4,1,1,4,3,5,3,1,2,Mildly Stressed
1828,under 20,male,Hardware engineering,contract,6-10,remote,2,4,2,5,4,4,2,4,4,1,4,5,Healthy
1829,21-30,female,Cyber Security,full-time,less than 1 year,remote,4,2,2,2,5,3,3,3,2,4,4,4,Mildly Stressed
1830,31-40,female,Software development,contract,6-10,hybrid,1,4,3,3,3,1,2,3,4,5,1,2,Healthy
1831,21-30,female,Cyber Security,full-time,11-15,Office-based,5,5,2,3,2,3,5,2,3,2,3,1,Highly Stressed
1832,21-30,female,Other,part-time,1-5,Office-based,5,2,4,5,4,3,5,5,3,4,3,2,Highly Stressed
1833,21-30,male,IT Services,contract,11-15,remote,4,5,4,1,2,5,2,3,1,4,4,1,Highly Stressed
1834,under 20,female,IT Services,contract,less than 1 year,remote,1,3,1,1,4,4,5,1,5,5,5,3,Highly Stressed
1835,21-30,female,IT Services,contract,16-20,hybrid,3,2,3,3,4,1,4,5,2,5,2,2,Mildly Stressed
1836,under 20,male,Cyber Security,part-time,11-15,hybrid,4,4,2,2,3,3,1,2,2,3,5,2,Mildly Stressed
1837,41-50,female,Cyber Security,full-time,1-5,hybrid,5,4,1,1,4,3,2,5,4,5,5,5,Mildly Stressed
1838,31-40,female,Hardware engineering,part-time,less than 1 year,hybrid,2,2,5,4,3,1,4,5,4,5,4,5,Mildly Stressed
1839,under 20,female,IT Services,part-time,11-15,hybrid,1,4,5,5,1,3,4,3,2,5,4,4,Mildly Stressed
1840,41-50,male,Hardware engineering,contract,6-10,hybrid,3,2,2,2,2,3,4,1,4,2,2,1,Highly Stressed
1841,under 20,female,IT Services,full-time,16-20,remote,2,1,2,1,3,3,3,3,1,4,2,5,Mildly Stressed
1842,under 20,male,Hardware engineering,part-time,less than 1 year,hybrid,1,4,2,3,2,2,2,1,5,4,2,4,Healthy
1843,31-40,male,Hardware engineering,contract,11-15,remote,4,2,4,5,5,2,2,1,1,5,4,1,Mildly Stressed
1844,51-60,female,Other,part-time,less than 1 year,remote,4,2,2,1,1,4,2,4,3,3,4,1,Highly Stressed
1845,51-60,female,Hardware engineering,part-time,6-10,Office-based,1,4,5,3,5,5,1,3,2,5,5,1,Mildly Stressed
1846,under 20,female,Cyber Security,contract,1-5,remote,3,1,2,1,5,1,4,2,1,3,4,3,Mildly Stressed
1847,21-30,female,Hardware engineering,contract,11-15,remote,1,4,3,5,4,5,2,5,1,4,3,1,Healthy
1848,41-50,male,IT Services,full-time,less than 1 year,hybrid,2,2,5,4,4,5,5,4,4,3,3,4,Mildly Stressed
1849,21-30,female,Hardware engineering,part-time,less than 1 year,remote,2,1,3,4,5,2,3,2,4,3,2,1,Mildly Stressed
1850,21-30,female,Software development,contract,less than 1 year,hybrid,4,5,5,3,4,4,1,3,4,1,4,1,Mildly Stressed
1851,under 20,female,IT Services,contract,1-5,hybrid,1,3,1,4,2,5,3,1,3,3,3,4,Mildly Stressed
1852,under 20,male,Software development,full-time,less than 1 year,hybrid,4,4,5,5,4,5,4,3,1,3,5,2,Mildly Stressed
1853,under 20,female,IT Services,full-time,16-20,Office-based,3,2,5,3,5,3,5,3,5,2,1,1,Mildly Stressed
1854,under 20,female,Cyber Security,contract,16-20,hybrid,2,1,3,1,4,1,4,4,4,4,5,4,Mildly Stressed
1855,51-60,male,Cyber Security,full-time,less than 1 year,remote,5,1,3,2,4,4,2,2,3,5,1,5,Highly Stressed
1856,under 20,male,Cyber Security,contract,16-20,hybrid,5,5,5,1,3,1,3,4,3,1,5,4,Mildly Stressed
1857,51-60,female,Software development,part-time,11-15,hybrid,1,4,5,5,3,2,5,2,4,3,3,3,Mildly Stressed
1858,51-60,female,Other,full-time,16-20,hybrid,1,1,4,3,5,5,3,4,2,2,4,5,Healthy
1859,under 20,female,IT Services,part-time,less than 1 year,Office-based,5,5,1,1,2,5,1,5,1,2,1,2,Healthy
1860,31-40,female,Cyber Security,part-time,6-10,remote,1,2,1,3,1,1,5,1,4,5,4,2,Highly Stressed
1861,41-50,female,IT Services,part-time,11-15,Office-based,2,5,2,4,1,2,1,1,5,5,4,4,Mildly Stressed
1862,21-30,male,Software development,contract,1-5,remote,3,4,5,2,5,3,5,1,1,4,3,4,Mildly Stressed
1863,51-60,male,Other,part-time,less than 1 year,Office-based,3,5,5,5,2,3,2,5,3,3,2,1,Healthy
1864,41-50,female,Software development,part-time,1-5,remote,4,1,5,1,2,5,3,5,5,2,2,1,Highly Stressed
1865,31-40,female,IT Services,part-time,6-10,Office-based,2,1,5,2,2,5,3,1,1,1,1,3,Mildly Stressed
1866,21-30,male,Other,contract,1-5,hybrid,1,3,1,5,3,4,4,1,5,4,3,1,Highly Stressed
1867,21-30,female,Other,part-time,less than 1 year,Office-based,1,5,3,5,5,1,5,2,3,3,4,4,Healthy
1868,51-60,female,Software development,part-time,less than 1 year,Office-based,4,2,4,4,1,5,5,2,4,5,5,4,Burned Out
1869,under 20,female,Cyber Security,full-time,6-10,hybrid,4,4,3,3,2,2,1,3,5,3,5,1,Highly Stressed
1870,31-40,female,IT Services,contract,less than 1 year,hybrid,1,3,3,3,5,1,5,4,4,5,1,3,Healthy
1871,51-60,female,Hardware engineering,part-time,6-10,remote,1,5,1,2,1,4,3,2,3,3,1,4,Healthy
1872,31-40,male,Hardware engineering,full-time,6-10,remote,2,2,4,4,3,3,5,2,3,1,1,3,Mildly Stressed
1873,under 20,female,Software development,contract,less than 1 year,remote,4,3,5,5,4,4,4,2,5,4,3,4,Highly Stressed
1874,under 20,female,IT Services,contract,16-20,Office-based,2,1,1,4,1,1,4,2,5,5,5,3,Highly Stressed
1875,51-60,female,IT Services,contract,6-10,remote,1,4,1,4,1,3,3,5,3,1,3,3,Healthy
1876,under 20,male,Software development,contract,less than 1 year,Office-based,5,5,4,2,1,2,3,3,5,2,3,3,Mildly Stressed
1877,41-50,male,IT Services,contract,16-20,Office-based,5,2,2,3,4,3,3,2,5,1,4,1,Highly Stressed
1878,21-30,male,Cyber Security,contract,6-10,remote,1,1,1,4,2,3,5,4,5,1,3,2,Mildly Stressed
1879,51-60,male,Software development,part-time,16-20,remote,4,3,3,4,4,2,5,2,5,1,3,3,Mildly Stressed
1880,31-40,female,Cyber Security,part-time,11-15,Office-based,5,4,3,4,1,5,2,5,1,5,4,3,Mildly Stressed
1881,41-50,male,IT Services,part-time,11-15,hybrid,4,3,5,1,3,5,1,1,3,2,2,4,Highly Stressed
1882,51-60,female,Software development,part-time,16-20,hybrid,5,3,1,4,1,3,5,1,3,4,4,2,Highly Stressed
1883,under 20,female,IT Services,full-time,6-10,Office-based,4,2,5,4,3,3,2,3,2,1,1,4,Healthy
1884,under 20,male,Software development,part-time,less than 1 year,remote,5,1,1,5,5,4,2,1,4,5,2,4,Mildly Stressed
1885,under 20,male,IT Services,contract,1-5,Office-based,4,5,4,1,3,5,4,2,2,5,5,3,Highly Stressed
1886,under 20,male,Cyber Security,part-time,less than 1 year,Office-based,2,2,1,4,1,2,5,5,5,4,3,5,Mildly Stressed
1887,31-40,male,Cyber Security,part-time,1-5,remote,4,4,2,4,4,3,2,3,5,3,2,2,Mildly Stressed
1888,41-50,male,IT Services,contract,1-5,hybrid,2,3,3,2,1,3,4,2,1,2,5,4,Highly Stressed
1889,21-30,female,Software development,part-time,6-10,Office-based,2,4,4,2,1,4,1,1,1,2,4,5,Mildly Stressed
1890,31-40,male,Hardware engineering,part-time,16-20,hybrid,1,2,3,1,5,4,4,4,1,1,4,5,Healthy
1891,31-40,male,Cyber Security,part-time,less than 1 year,hybrid,2,2,5,5,2,4,1,2,1,3,1,4,Healthy
1892,21-30,male,Cyber Security,full-time,16-20,remote,3,5,4,1,1,1,3,4,1,2,1,3,Healthy
1893,21-30,female,Hardware engineering,part-time,11-15,Office-based,2,3,2,1,5,2,3,4,1,1,2,1,Healthy
1894,under 20,male,IT Services,contract,6-10,Office-based,4,2,3,2,4,1,4,3,1,3,3,4,Healthy
1895,31-40,female,Software development,contract,6-10,hybrid,2,4,1,2,5,3,3,5,1,5,4,3,Healthy
1896,51-60,male,IT Services,part-time,11-15,hybrid,4,5,1,5,5,4,5,1,1,1,2,2,Healthy
1897,21-30,male,Other,part-time,less than 1 year,remote,4,4,1,4,3,4,4,1,3,3,2,3,Mildly Stressed
1898,21-30,female,Cyber Security,part-time,11-15,hybrid,3,3,4,5,2,4,2,2,1,4,2,5,Healthy
1899,41-50,male,Other,contract,less than 1 year,remote,2,5,2,4,2,5,5,1,4,2,1,2,Mildly Stressed
1900,51-60,female,Cyber Security,contract,1-5,Office-based,2,5,2,3,4,2,4,3,1,1,4,2,Healthy
1901,51-60,female,Cyber Security,full-time,6-10,remote,5,5,2,2,5,1,1,1,5,5,1,1,Mildly Stressed
1902,21-30,female,Other,full-time,less than 1 year,hybrid,5,1,3,3,4,2,3,2,5,1,1,1,Mildly Stressed
1903,under 20,male,Other,full-time,16-20,Office-based,1,5,4,3,4,4,3,1,1,2,2,4,Healthy
1904,41-50,male,IT Services,contract,16-20,remote,4,4,1,2,2,3,3,5,1,2,5,3,Healthy
1905,51-60,male,Other,full-time,6-10,Office-based,3,4,3,3,2,5,4,4,5,3,5,4,Highly Stressed
1906,21-30,female,IT Services,part-time,11-15,remote,5,3,2,1,2,2,5,4,4,5,5,1,Burned Out
1907,51-60,male,IT Services,part-time,11-15,hybrid,2,2,1,4,1,3,1,4,2,3,2,5,Healthy
1908,41-50,female,IT Services,contract,less than 1 year,hybrid,1,2,4,5,5,4,3,5,3,5,3,1,Mildly Stressed
1909,41-50,male,Cyber Security,full-time,11-15,Office-based,3,1,5,2,4,4,5,3,5,1,4,3,Highly Stressed
1910,31-40,female,Cyber Security,part-time,6-10,Office-based,2,5,2,1,5,4,2,2,1,1,2,5,Healthy
1911,21-30,female,Other,contract,less than 1 year,Office-based,2,1,2,5,4,4,2,5,3,3,2,4,Healthy
1912,41-50,female,Cyber Security,full-time,1-5,remote,4,3,2,5,4,5,1,2,1,4,1,4,Healthy
1913,31-40,male,Other,part-time,11-15,hybrid,4,3,2,5,4,5,3,3,2,2,5,1,Mildly Stressed
1914,31-40,female,Cyber Security,full-time,11-15,Office-based,5,2,1,3,4,2,2,5,2,3,2,1,Healthy
1915,51-60,female,Software development,contract,less than 1 year,Office-based,5,3,4,3,3,4,5,1,5,3,3,4,Burned out
1916,51-60,female,Software development,full-time,16-20,Office-based,2,5,3,3,3,5,5,3,3,1,4,4,Mildly Stressed
1917,31-40,female,Other,contract,11-15,remote,2,4,1,3,1,3,2,4,3,2,3,2,Healthy
1918,51-60,female,Cyber Security,full-time,6-10,Office-based,5,3,4,1,2,5,3,5,2,3,2,3,Mildly Stressed
1919,41-50,female,Cyber Security,part-time,11-15,Office-based,5,1,3,3,4,5,1,3,1,1,2,2,Mildly Stressed
1920,under 20,male,IT Services,contract,1-5,remote,2,5,2,2,5,2,3,3,5,1,1,2,Healthy
1921,41-50,male,Hardware engineering,contract,11-15,remote,3,3,4,5,3,5,4,5,4,3,3,4,Mildly Stressed
1922,31-40,female,Other,contract,16-20,Office-based,2,3,2,1,2,3,2,4,2,3,1,3,Healthy
1923,31-40,male,Hardware engineering,full-time,11-15,Office-based,3,5,4,3,1,4,4,4,2,1,3,4,Mildly Stressed
1924,41-50,male,Hardware engineering,full-time,less than 1 year,remote,3,3,5,5,2,1,2,3,5,3,5,2,Highly Stressed
1925,51-60,female,Other,part-time,11-15,hybrid,2,4,2,1,4,2,1,2,1,2,5,2,Healthy
1926,51-60,female,Cyber Security,contract,16-20,remote,1,2,2,5,2,3,3,3,3,1,3,4,Healthy
1927,31-40,female,Other,contract,less than 1 year,hybrid,5,5,2,1,4,2,3,5,2,1,1,1,Healthy
1928,21-30,male,Hardware engineering,full-time,6-10,Office-based,4,1,1,4,3,4,2,5,5,3,5,1,Highly Stressed
1929,51-60,female,Cyber Security,full-time,less than 1 year,Office-based,2,3,3,1,3,5,5,5,5,3,2,4,Highly Stressed
1930,41-50,male,Software development,part-time,1-5,hybrid,3,2,2,3,4,5,4,4,5,3,4,5,Mildly Stressed
1931,51-60,female,Other,part-time,less than 1 year,remote,2,1,2,5,5,3,3,1,3,2,1,5,Healthy
1932,41-50,male,Other,full-time,6-10,Office-based,5,1,1,5,3,4,3,5,2,1,3,1,Healthy
1933,31-40,female,Cyber Security,contract,11-15,hybrid,3,4,1,5,5,1,2,5,5,4,4,3,Healthy
1934,51-60,female,Software development,part-time,less than 1 year,remote,4,2,5,2,4,1,5,2,3,2,4,2,Highly Stressed
1935,41-50,male,Software development,full-time,less than 1 year,hybrid,4,5,4,2,4,5,4,2,1,2,2,3,Mildly Stressed
1936,31-40,male,Cyber Security,full-time,less than 1 year,remote,4,2,2,3,3,4,5,3,4,1,1,1,Mildly Stressed
1937,21-30,male,IT Services,contract,less than 1 year,remote,1,2,4,4,5,4,5,3,2,4,4,4,Mildly Stressed
1938,41-50,male,Other,full-time,6-10,remote,3,1,1,2,4,3,2,3,3,1,1,5,Healthy
1939,21-30,male,Other,full-time,16-20,remote,3,4,1,1,3,1,5,5,4,2,2,1,Mildly Stressed
1940,21-30,male,Hardware engineering,part-time,16-20,hybrid,1,4,5,3,4,3,4,2,4,3,3,3,Mildly Stressed
1941,under 20,female,Cyber Security,full-time,less than 1 year,hybrid,3,2,3,4,2,2,1,3,3,1,4,3,Healthy
1942,51-60,male,Hardware engineering,full-time,6-10,hybrid,1,2,1,1,2,4,1,2,3,1,4,1,Mildly Stressed
1943,41-50,female,Hardware engineering,part-time,6-10,hybrid,2,3,2,5,3,1,4,5,3,3,4,2,Healthy
1944,21-30,female,Software development,contract,less than 1 year,hybrid,5,1,5,2,4,3,2,5,5,4,1,3,Highly Stressed
1945,under 20,male,Other,contract,1-5,remote,4,5,3,1,3,5,3,3,1,4,4,2,Highly Stressed
1946,31-40,female,Hardware engineering,part-time,less than 1 year,Office-based,1,5,5,4,1,2,2,5,5,1,1,2,Healthy
1947,41-50,male,Software development,part-time,1-5,Office-based,1,4,1,3,3,3,4,5,4,3,5,4,Healthy
1948,21-30,male,Cyber Security,contract,less than 1 year,hybrid,1,1,3,1,3,5,5,2,4,1,5,1,Highly Stressed
1949,51-60,female,Hardware engineering,contract,1-5,hybrid,2,4,4,3,2,1,1,1,4,3,1,1,Mildly Stressed
1950,under 20,female,Other,contract,1-5,Office-based,1,5,3,5,2,1,5,4,3,2,5,2,Healthy
1951,21-30,male,Hardware engineering,contract,less than 1 year,remote,5,2,2,4,4,2,2,3,2,3,2,4,Healthy
1952,51-60,male,Cyber Security,contract,1-5,hybrid,5,1,4,4,3,5,4,1,5,1,2,3,Highly Stressed
1953,21-30,female,Hardware engineering,part-time,11-15,remote,4,1,4,2,3,4,1,3,2,5,5,3,Highly Stressed
1954,41-50,female,Other,full-time,16-20,Office-based,2,3,2,4,4,1,4,1,1,4,3,1,Mildly Stressed
1955,41-50,female,Software development,contract,6-10,Office-based,5,2,4,1,5,4,1,5,1,1,1,2,Healthy
1956,41-50,female,Other,contract,1-5,hybrid,3,2,1,1,4,4,1,3,5,3,5,4,Mildly Stressed
1957,under 20,male,Software development,full-time,1-5,remote,3,4,3,1,2,3,1,1,4,3,1,4,Mildly Stressed
1958,41-50,male,IT Services,full-time,6-10,hybrid,3,1,3,5,2,3,2,4,1,4,5,3,Mildly Stressed
1959,51-60,male,Other,full-time,1-5,Office-based,1,4,2,4,3,1,4,5,2,1,2,3,Healthy
1960,21-30,male,Other,full-time,6-10,remote,1,2,1,4,2,4,3,3,2,5,3,5,Healthy
1961,31-40,female,Cyber Security,full-time,less than 1 year,hybrid,3,3,4,1,4,3,3,3,3,2,1,5,Mildly Stressed
1962,51-60,female,Hardware engineering,full-time,11-15,hybrid,4,1,3,2,3,5,3,1,4,5,3,2,Burned Out
1963,51-60,male,Software development,part-time,11-15,hybrid,4,2,3,2,4,5,4,3,3,2,2,5,Mildly Stressed
1964,41-50,male,Software development,full-time,16-20,Office-based,1,3,3,4,4,5,5,5,5,2,4,4,Mildly Stressed
1965,under 20,male,Cyber Security,full-time,1-5,hybrid,3,5,3,4,3,5,4,2,1,1,4,5,Healthy
1966,21-30,male,Cyber Security,part-time,16-20,remote,4,2,5,3,5,4,1,1,3,2,1,1,Mildly Stressed
1967,under 20,male,Hardware engineering,full-time,less than 1 year,hybrid,1,5,2,4,2,5,5,4,3,3,2,1,Mildly Stressed
1968,21-30,male,Hardware engineering,contract,11-15,Office-based,3,4,4,1,1,4,1,3,5,2,1,3,Mildly Stressed
